timestamp,text,source
2026-07-17,临海海关缉私局通报，近日查获一起伪报品名出口案，涉案货物为受管制碳化硅粉末 12 吨，申报品名为"工业磨料"。案件已移交海关缉私部门进一步侦查。,海关通讯
2026-07-18,香港外汇市场今日，离岸人民币对美元盘中突破 7.40 关口，单日贬值 0.6%，为 2024 年以来首次。市场传闻"部分中资房企美元债赎回压力加剧"。央行当日宣布将于 7 月 22 日发行 200 亿元离岸央票。,财经快讯
2026-07-19,临海芯园半导体基地宣布，首批 28nm 工艺晶圆产品已交付长三角地区三家汽车电子客户。基地负责人表示"良率达到设计指标 92%，提前一个月实现量产"。,临海日报
2026-07-20,临海市统计局公布上半年经济数据，GDP 同比增长 4.7%，低于全年目标 5.5%。规模以上工业增加值增长 3.2%，固定资产投资下降 4.8%，房地产开发投资下降 17.3%。,统计公报
2026-07-21,临海港务局启动"应急疏通作业"，将 3 艘等候超过 7 天的集装箱船引导至宁波舟山港卸货。港口集团表示"为避免进一步拥堵，采取临时调度措施"。物流协会估算额外成本约 2400 万元。,港口内讯
2026-07-22,人民银行在香港发行 200 亿元离岸人民币央票，3 个月期中标利率 2.85%，6 个月期 3.05%，申购倍数 4.2。市场解读为"央行稳定离岸汇率信号"。当日离岸人民币回升至 7.36。,财经快讯
2026-07-23,临海市住建局今日约谈 8 家本地房企，要求"切实履行保交楼主体责任"，对存在延期风险的项目"一项目一专班"。会议未对外公开，但相关信息在业内流传。,临海城建
2026-07-24,临海海关公布上半年外贸数据，对东盟出口 412 亿元，同比增长 31%；对欧盟出口 187 亿元，下降 8.6%；对美国出口 96 亿元，下降 14.2%。"贸易结构持续优化"。,海关通讯
2026-07-25,临海芯园基地宣布与国内 EDA 厂商达成合作，引入 3 款国产 EDA 工具替代部分海外软件。基地负责人表示"实现设计工具链 70% 国产化"，预计年内完成切换。,临海日报
2026-07-26,临海城建集团公告，对其 2027 年到期 1.2 亿美元债发起展期征求，拟将到期日延后 18 个月，额外支付 150 个基点同意费。持有人会议将于 8 月 5 日召开。,财经周报
2026-07-27,临海市交通局与华为联合启动"港口数字化调度"试点，部署 AI 集装箱识别、堆场动态优化算法。试点目标：将平均清关时长从 38 小时压缩至 24 小时以内。,临海交通
2026-07-28,临海市财政局公布上半年财政收入，一般公共预算收入 287 亿元，同比下降 3.2%；政府性基金收入 96 亿元，同比下降 47%，其中土地出让金 71 亿元，同比下降 58%。,财政公报
2026-07-29,临海海关启动为期 3 个月的"进出口环节合规检查专项行动"，重点核查"双高产品出口、转口贸易原产地、加工贸易单耗"等。首日检查涉及企业 23 家。,海关通讯
2026-07-30,临海市商务局组织"跨境电商东盟专场"对接会，本地 87 家企业与东盟 12 国采购商在线洽谈，现场签约 23 亿元。商务局负责人表示"东盟已成为临海跨境电商第一大市场"。,临海商务
2026-07-31,临海港务集团 7 月运营数据快报，集装箱吞吐量 195 万 TEU，环比回升 4.2%。集团表示"应急疏通与数字化调度初见成效"。堆场滞留量降至 2.8 万 TEU。,港口内讯
2026-08-01,临海经开区发布，上半年集成电路产业人才净流入 1820 人，其中硕士及以上占比 64%。同期 AI 与数据中心相关岗位净流入 940 人。"产业升级人才集聚效应显现"。,临海经开
2026-08-02,临海市住建局公布，截至 7 月底，"保交楼"专项借款累计使用 47 亿元，涉及 23 个项目、1.8 万套住房。其中 11 个项目已复工，6 个项目已交付。,临海城建
2026-08-03,人民银行公布 7 月末外汇储备 32583 亿美元，环比上升 113 亿美元。国家外汇管理局表示"汇率折算与资产价格变化共同贡献正向估值"。当日在岸人民币对美元收于 7.34。,财经快讯
2026-08-04,临海芯园基地宣布，二期 14nm 工艺产线已进入客户验证阶段，首批 3 家客户样品测试通过。基地负责人表示"预计年底实现小批量量产，良率目标 89%"。,临海日报
2026-08-05,临海城建集团公告，1.2 亿美元债展期征求获 87% 持有人同意，展期方案正式生效。集团表示"债务结构进一步优化"。当日该债收益率下行 280 个基点至 9.6%。,财经周报
2026-08-06,临海海关缉私局再次通报，查获一起伪报品名出口案，涉案货物为高纯度石英坩埚 240 只，申报品名为"实验室陶瓷器皿"。案件反映出"敏感物资出口管制压力上升"。,海关通讯
2026-08-07,临海市统计局公布 7 月制造业 PMI 为 50.3，环比上升 0.8 个百分点，重回扩张区间。新订单指数 51.2，新出口订单指数 49.8。"内需改善明显，外需仍承压"。,统计公报
2026-08-08,临海市发改委与电力公司联合发布《AI 数据中心用电保障专项预案》，明确对列入"算力枢纽"的项目"按保供电用户等级管理"。预计新增算力负荷 280 兆瓦，需配套扩容 2 座 220kV 变电站。,临海发改
2026-08-09,临海市商务局披露，上半年经临海口岸的转口贸易额 158 亿元，占口岸进出口总额 18%，较去年同期上升 7 个百分点。其中"经东盟转口至欧美"占比升至 41%。,临海商务
