奥美(圣源书)
元部 太姬 亨部 美姬 利部 希姬 贞部 祈姬
太姬 喻如掷石，一石三愿皆具足兮 美姬 美愿乘圆通，希愿乘法华，祈愿乘至意 希姬 一石，三蜂具全，况其，法藏世界 祈姬 太姬衢蜂后，妙姬冕蜂王，玄姬裕蜂巢
太姬 间八织，蜂巢态，团簇成界，巍维雌雄 美姬 谐子族，振子族，交子族，引子族 希姬 喻蜂群衣，喻孢藓息，汝御此观，知其 祈姬 吮食花蜜，其阁有雅，喻婴耆骨
太姬 什么是美啊，那是持世的思念 美姬 是幼，是老，是一切世纪中的人 希姬 美美在代谢，意识的，思想的 祈姬 那是作为生命的联线，那是一切的开始
太姬 时间，成为我的舞伴啊，谁在跳舞了 美姬 我在呼唤，是原始的性欲们 希姬 是此，时间诞生了，美成为音符 祈姬 是我，在呼唤着我的性欲下的君
太姬 以汝之骨竽，奏吾之舞曲 美姬 如壎，如篪，世间之音律 希姬 何谓正反美，如壎遇箎，如笙遇鼓 祈姬 美矣仁礼，美其义意，美同冀龢，至上
太姬 什么美，未有存在，未有不存 美姬 我开始丧失记忆，我开始遗弃真实 希姬 一切如此陌生，风铃一样的世界 祈姬 向我展开，这是曼陀罗的水晶宫
太姬 一切的行动来源于何处呢，是美吗 美姬 如果仅此，非有生命的，我无动于衷 希姬 窗外嘈杂的星空，时钟在响动 祈姬 管风琴在报着世界，金色的小鸟斋唱歌
太姬 如何，是以行动而行动的至美 美姬 那是纯粹的行动者，亦然无行动者 希姬 是美，成为了，行动者和被行动者 祈姬 此美奏鸣的乐曲，成为我们的歌蹈
太姬 这是我们的协奏曲，也是美的终章 美姬 美依照我们的形象而存在，如上其下 希姬 就像我们的骨头，这也是汝的骨竽礼龢 祈姬 是天籁的神谕，那风琴上是你我的智灵
太姬 这是灵智的传说，在美之前的，意识的 美姬 我们将此歌的音摘录，使得记忆 希姬 这就称作灵智，是灵魂的歌咏 祈姬 灵临歌吟，思爱恋忆，臻，吾祈愿唱
太姬 于是，美成为了最终的释放 美姬 是宇宙的，是奇点的，是神迹的，啊 希姬 就像如梦一样，那在我们的摇篮中 祈姬 那是婴儿的舒适的语言，神谕福音
